SongName,SongId,Difficulty,Score,Perfect,Perfect+,Far,Lost,Constant,PlayRating
World Vanquisher,worldvanquisher,Present,9980984,757,747,1,1,5.5,7.40492
GOODTEK (Arcaea Edit),goodtek,Present,9771105,605,536,25,2,6.5,7.403683
Senkyou,senkyou,Present,9959138,716,690,6,0,5.5,7.29569
Snow White,snowwhite,Present,9985772,670,653,2,0,5,6.92886
Oblivia,oblivia,Present,9845730,501,469,16,0,5,6.22865
world.execute(me),worldexecuteme,Present,9811497,565,501,12,5,5,6.057485
inkar-usi,inkarusi,Present,9984975,325,313,1,0,4,5.924875
HIVEMIND,hivemind,Past,9980892,993,993,0,2,4,5.90446
Pentiment,pentiment,Present,8630998,841,667,139,75,8.7,5.803327
Flyburg and Endroll,flyburg,Present,9331286,586,517,41,23,6,5.43762
PRAGMATISM,pragmatism,Past,9569691,438,364,35,3,4.5,4.732303
Paradise,paradise,Present,9212280,302,246,39,8,4,3.040933
Fairytale,fairytale,Past,9955677,333,320,3,0,1,2.778385
Purgatorium,purgatorium,Past,8095699,484,461,18,107,2.5,0
Senkyou,senkyou,Past,7616092,476,463,3,148,3,0
Flashback,flashback,Present,7971642,366,331,46,76,5,0
Loschen,loschen,Present,1094202,91,85,4,755,7,0
Nirv lucE,nirvluce,Present,5941760,286,261,78,183,7,0
